method,year_month,q,q_label,estimate,lower_95,upper_95,accepted_event_species,diversity,method_label,method_class,result_type,reference_estimate,reference_lower_95,reference_upper_95,absolute_difference,percentage_difference
Primary_M3,2023-04,1,q = 1: Exponential Shannon,11.893700018688644,10.896013423415283,12.825653040748108,,,Primary M3: species-aware,Reference,Monte Carlo,11.893700018688644,10.896013423415283,12.825653040748108,0,0
Primary_M3,2023-04,2,q = 2: Inverse Simpson,6.9242353692752605,6.358121845965052,7.455292373796893,,,Primary M3: species-aware,Reference,Monte Carlo,6.9242353692752605,6.358121845965052,7.455292373796893,0,0
Primary_M3,2023-05,0,q = 0: Richness,80,70,89,,,Primary M3: species-aware,Reference,Monte Carlo,80,70,89,0,0
Primary_M3,2023-05,1,q = 1: Exponential Shannon,10.109917411936156,9.346019697381646,10.88651280112465,,,Primary M3: species-aware,Reference,Monte Carlo,10.109917411936156,9.346019697381646,10.88651280112465,0,0
Primary_M3,2023-05,2,q = 2: Inverse Simpson,5.9096174227906495,5.575000624972628,6.2165527517711645,,,Primary M3: species-aware,Reference,Monte Carlo,5.9096174227906495,5.575000624972628,6.2165527517711645,0,0
Primary_M3,2023-06,0,q = 0: Richness,79,70,88,,,Primary M3: species-aware,Reference,Monte Carlo,79,70,88,0,0
Primary_M3,2023-06,1,q = 1: Exponential Shannon,7.249416257343754,6.541442909004715,8.132310727466265,,,Primary M3: species-aware,Reference,Monte Carlo,7.249416257343754,6.541442909004715,8.132310727466265,0,0
Primary_M3,2023-06,2,q = 2: Inverse Simpson,3.776591238540175,3.5025735687939346,4.188110750478752,,,Primary M3: species-aware,Reference,Monte Carlo,3.776591238540175,3.5025735687939346,4.188110750478752,0,0
Primary_M3,2023-07,0,q = 0: Richness,61,54,70,,,Primary M3: species-aware,Reference,Monte Carlo,61,54,70,0,0
Primary_M3,2023-07,1,q = 1: Exponential Shannon,11.095320592102578,9.737985992804411,12.939832126197096,,,Primary M3: species-aware,Reference,Monte Carlo,11.095320592102578,9.737985992804411,12.939832126197096,0,0
Primary_M3,2023-07,2,q = 2: Inverse Simpson,5.510201738584267,4.805326765966733,6.800983932955736,,,Primary M3: species-aware,Reference,Monte Carlo,5.510201738584267,4.805326765966733,6.800983932955736,0,0
Primary_M3,2023-08,0,q = 0: Richness,20,16,25,,,Primary M3: species-aware,Reference,Monte Carlo,20,16,25,0,0
Primary_M3,2023-08,1,q = 1: Exponential Shannon,10.619145384701902,8.94719195235206,12.273443615964595,,,Primary M3: species-aware,Reference,Monte Carlo,10.619145384701902,8.94719195235206,12.273443615964595,0,0
Primary_M3,2023-08,2,q = 2: Inverse Simpson,7.35486751442681,6.210137482055555,8.393395826660338,,,Primary M3: species-aware,Reference,Monte Carlo,7.35486751442681,6.210137482055555,8.393395826660338,0,0
Primary_M3,2023-10,0,q = 0: Richness,35,30,40,,,Primary M3: species-aware,Reference,Monte Carlo,35,30,40,0,0
Primary_M3,2023-10,1,q = 1: Exponential Shannon,11.285193646725972,9.656628666269594,12.767977009954244,,,Primary M3: species-aware,Reference,Monte Carlo,11.285193646725972,9.656628666269594,12.767977009954244,0,0
Primary_M3,2023-10,2,q = 2: Inverse Simpson,6.2230845439930595,5.393570135790187,7.0189798889442585,,,Primary M3: species-aware,Reference,Monte Carlo,6.2230845439930595,5.393570135790187,7.0189798889442585,0,0
Primary_M3,2023-11,0,q = 0: Richness,36,30,41,,,Primary M3: species-aware,Reference,Monte Carlo,36,30,41,0,0
Primary_M3,2023-11,1,q = 1: Exponential Shannon,14.484418761965905,12.502070753981988,16.862418724895214,,,Primary M3: species-aware,Reference,Monte Carlo,14.484418761965905,12.502070753981988,16.862418724895214,0,0
Primary_M3,2023-11,2,q = 2: Inverse Simpson,8.618874485612,7.4005453427892185,10.10461945493617,,,Primary M3: species-aware,Reference,Monte Carlo,8.618874485612,7.4005453427892185,10.10461945493617,0,0
Primary_M3,2023-12,0,q = 0: Richness,26,22,31,,,Primary M3: species-aware,Reference,Monte Carlo,26,22,31,0,0
Primary_M3,2023-12,1,q = 1: Exponential Shannon,9.697121696143242,7.882320830542966,11.761324019136186,,,Primary M3: species-aware,Reference,Monte Carlo,9.697121696143242,7.882320830542966,11.761324019136186,0,0
Primary_M3,2023-12,2,q = 2: Inverse Simpson,4.591992206256946,3.811218546454862,5.718723016357551,,,Primary M3: species-aware,Reference,Monte Carlo,4.591992206256946,3.811218546454862,5.718723016357551,0,0
Primary_M3,2024-01,0,q = 0: Richness,26,22,30,,,Primary M3: species-aware,Reference,Monte Carlo,26,22,30,0,0
Primary_M3,2024-01,1,q = 1: Exponential Shannon,10.417251165997529,9.13255783802883,11.843549774861081,,,Primary M3: species-aware,Reference,Monte Carlo,10.417251165997529,9.13255783802883,11.843549774861081,0,0
Primary_M3,2024-01,2,q = 2: Inverse Simpson,6.465290449586066,5.6899736851790506,7.4126930385093655,,,Primary M3: species-aware,Reference,Monte Carlo,6.465290449586066,5.6899736851790506,7.4126930385093655,0,0
Primary_M3,2024-02,0,q = 0: Richness,47,40,54,,,Primary M3: species-aware,Reference,Monte Carlo,47,40,54,0,0
Primary_M3,2024-02,1,q = 1: Exponential Shannon,8.58332950123917,7.654537845934463,9.831797539377344,,,Primary M3: species-aware,Reference,Monte Carlo,8.58332950123917,7.654537845934463,9.831797539377344,0,0
Primary_M3,2024-02,2,q = 2: Inverse Simpson,4.087542633437041,3.6927997604232186,4.734422379805179,,,Primary M3: species-aware,Reference,Monte Carlo,4.087542633437041,3.6927997604232186,4.734422379805179,0,0
Primary_M3,2024-03,0,q = 0: Richness,66,58,74,,,Primary M3: species-aware,Reference,Monte Carlo,66,58,74,0,0
Primary_M3,2024-03,1,q = 1: Exponential Shannon,9.97935271460506,9.218538511638544,10.878451053335775,,,Primary M3: species-aware,Reference,Monte Carlo,9.97935271460506,9.218538511638544,10.878451053335775,0,0
Primary_M3,2024-03,2,q = 2: Inverse Simpson,6.122666221593212,5.679676419189503,6.712458876980535,,,Primary M3: species-aware,Reference,Monte Carlo,6.122666221593212,5.679676419189503,6.712458876980535,0,0
Primary_M3,2024-04,0,q = 0: Richness,56,49,63,,,Primary M3: species-aware,Reference,Monte Carlo,56,49,63,0,0
Primary_M3,2024-04,1,q = 1: Exponential Shannon,7.600025081616561,6.9434506817279935,8.371633002109517,,,Primary M3: species-aware,Reference,Monte Carlo,7.600025081616561,6.9434506817279935,8.371633002109517,0,0
Primary_M3,2024-04,2,q = 2: Inverse Simpson,4.631815206277359,4.350144228510964,4.975176481450267,,,Primary M3: species-aware,Reference,Monte Carlo,4.631815206277359,4.350144228510964,4.975176481450267,0,0
Primary_M2,2021-12,0,q = 0: Richness,28,24,32,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,25,20,29,3,12.00000000000001
Primary_M2,2021-12,1,q = 1: Exponential Shannon,8.84512170263201,7.531582200487383,10.181666772316131,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,7.059398557668816,6.1112848949521075,8.008467746700806,1.7857231449631943,25.295683908132858
Primary_M2,2021-12,2,q = 2: Inverse Simpson,4.511001561899946,3.973234816627307,5.13966091754029,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,3.9988338334177023,3.589079604145683,4.452290089087324,0.5121677284822441,12.807927256244778
Primary_M2,2022-01,0,q = 0: Richness,48,42,54,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,40,34,47,8,19.999999999999996
Primary_M2,2022-01,1,q = 1: Exponential Shannon,9.344826706145158,8.563721902916196,10.284929541933339,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,7.9851185714953115,7.1268346772231315,8.858579823699339,1.3597081346498463,17.02802685364788
Primary_M2,2022-01,2,q = 2: Inverse Simpson,4.281522043684257,3.957110316501681,4.65159759672283,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,4.1992537211900185,3.7890986559532047,4.593153740280675,0.08226832249423843,1.9591176898671625
Primary_M2,2022-02,0,q = 0: Richness,51,45,56,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,41,35,47,10,24.390243902439025
Primary_M2,2022-02,1,q = 1: Exponential Shannon,14.184760723811909,12.906151961395615,15.675212992518915,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,11.083201796856123,9.868634869486943,12.291281807536818,3.1015589269557857,27.98432243501674
Primary_M2,2022-02,2,q = 2: Inverse Simpson,7.222409766728314,6.596645349979569,7.913839138992927,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,6.488619238578735,5.798002602297476,7.096395184509092,0.7337905281495782,11.30888562217911
Primary_M2,2022-08,0,q = 0: Richness,29,24,34,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,26,21,30,3,11.538461538461542
Primary_M2,2022-08,1,q = 1: Exponential Shannon,14.447366745746882,12.467528186208218,16.38991828539502,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,11.871536686130174,10.304196939721136,13.279713036761105,2.575830059616708,21.697528531635825
Primary_M2,2022-08,2,q = 2: Inverse Simpson,9.313669411548382,8.156927865485816,10.534402159317125,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,8.019888287769383,7.035507579120789,8.822128431693862,1.2937811237789987,16.132158919870008
Primary_M2,2022-09,0,q = 0: Richness,76,68.34166666666667,84,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,62,54,71,14,22.580645161290324
Primary_M2,2022-09,1,q = 1: Exponential Shannon,9.513678102470763,9.077286488984837,9.956464608725415,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,7.420327200632588,6.824397582421539,8.002684170585503,2.093350901838175,28.21103227981261
Primary_M2,2022-09,2,q = 2: Inverse Simpson,5.018937547141495,4.858817676607414,5.192603813345482,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,4.385360455360969,4.10561447536096,4.6598989731539815,0.6335770917805261,14.447548798548526
Primary_M2,2022-10,0,q = 0: Richness,78,71,84,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,64,56,72,14,21.875
Primary_M2,2022-10,1,q = 1: Exponential Shannon,8.742264028180482,8.351112113995274,9.163374632568775,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,6.840491985935147,6.233752740727834,7.414779057904594,1.9017720422453355,27.801685114982977
Primary_M2,2022-10,2,q = 2: Inverse Simpson,4.439959368981151,4.294354065477459,4.589078132127686,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,3.935468088596486,3.665698591569257,4.185194107399265,0.5044912803846655,12.819092139166166
Primary_M2,2022-11,0,q = 0: Richness,60,54.34166666666667,66,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,50,43,57,10,19.999999999999996
Primary_M2,2022-11,1,q = 1: Exponential Shannon,8.183297514578943,7.736633547460631,8.590455139679282,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,6.589443304234722,5.947933610993967,7.247743575247615,1.5938542103442206,24.18799489965906
Primary_M2,2022-11,2,q = 2: Inverse Simpson,3.7431662758013893,3.5891570966739623,3.90695720734054,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,3.2906193420765995,3.0038611049247246,3.5951673060268883,0.4525469337247898,13.752637016933189
Primary_M2,2022-12,0,q = 0: Richness,48,42,54,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,40,33,46,8,19.999999999999996
Primary_M2,2022-12,1,q = 1: Exponential Shannon,7.949785759535913,7.335750205525724,8.634737806586404,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,6.190843304014422,5.458773333729292,6.97667753532507,1.758942455521491,28.412000904318056
Primary_M2,2022-12,2,q = 2: Inverse Simpson,3.5946967104480496,3.3640301840953617,3.8501666529414376,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,3.076504008460872,2.752127777344277,3.3978380658486596,0.5181927019871777,16.843556860711573
