analysis,n,min_confidence,median_confidence,mean_confidence,max_confidence
anomaly-detection,14143,-125.3952086,199.6024229,1163.1584695635888,460097.3211
birdnet-lite,65255,0.4500144,0.6655741,0.6942072922828902,0.99997556
