q,q_label,component,component_label,all_median,all_lower_95,all_upper_95,high_median,high_lower_95,high_upper_95,absolute_change,percentage_change
0,q = 0: Richness,alpha,Alpha,49.130434782608695,45.17391304347826,53.565217391304344,59.92857142857142,55.07142857142857,65.5,10.798136645962728,21.97850821744627
0,q = 0: Richness,gamma,Gamma,158,146,171,152,140,164.6583333333333,-6,-3.797468354430378
0,q = 0: Richness,beta,Beta,3.2185688753317576,3.007559591905509,3.4208988009161088,2.538105049777618,2.3827351218008017,2.693396335535409,-0.6804638255541398,-21.141813393196387
1,q = 1: Exponential Shannon,alpha,Alpha,8.795475448530865,8.089267838051015,9.46152788985623,7.983176472755789,7.356628367473946,8.570098375052298,-0.8122989757750769,-9.235418602763056
1,q = 1: Exponential Shannon,gamma,Gamma,14.804727208050327,13.551244329964062,15.991237675223896,12.100075890405058,11.15158123366408,12.989077411079851,-2.7046513176452684,-18.26883589029974
1,q = 1: Exponential Shannon,beta,Beta,1.6834620768367494,1.6657846292562202,1.7028213091096434,1.5161126495950117,1.504678249225814,1.5278508659822925,-0.16734942724173774,-9.940789848749654
2,q = 2: Inverse Simpson,alpha,Alpha,4.711306722583864,4.414582779570715,5.004672524773394,4.180177284055988,3.92193030765939,4.4335107291833316,-0.5311294385278762,-11.273505840362352
2,q = 2: Inverse Simpson,gamma,Gamma,8.173918140714456,7.652672076004251,8.709989254362242,6.624578408637255,6.213216628936385,7.009089299268175,-1.5493397320772004,-18.954676391483627
2,q = 2: Inverse Simpson,beta,Beta,1.7333042293693333,1.7104691757222477,1.7610049975805646,1.5839922953907202,1.5546389773927174,1.6060663786261813,-0.1493119339786131,-8.614294677682787
