predicted_species,n_candidates,mean_birdnet_score,mean_p_primary,median_p_primary,expected_correct_primary,mean_p_primary_m2,expected_correct_primary_m2,mean_p_audio_only,expected_correct_audio_only,species_validation_n,species_confirmation_rate,expected_difference_m2_minus_m3
Boreal Owl,191,0.6257408806282723,0.45817997011548167,0.4078331367695874,87.512374292057,0.46252632703811164,88.34252846427933,0.47771272884178606,91.24313120878114,2,1,0.830154172222322
Parrot Crossbill,3,0.50192201,0.05342126251479717,0.05082770199855934,0.1602637875443915,0.3176544274540261,0.9529632823620784,0.08356603091408858,0.25069809274226573,3,0,0.7926994948176869
Little Crake,2,0.681298325,0.1574893055493295,0.1574893055493295,0.314978611098659,0.5530175479465556,1.106035095893111,0.23980193033685016,0.4796038606737003,2,0,0.7910564847944521
Lesser Black-backed Gull,6,0.490912765,0.43700437895942984,0.4144640035729122,2.622026273756579,0.30575927358249694,1.8345556414949817,0.42730454912145976,2.5638272947287586,4,0.5,-0.7874706322615974
Corn Bunting,8,0.6158875475,0.36247444698730236,0.2709675346183601,2.899795575898419,0.45995878681256297,3.6796702945005038,0.3780782768876492,3.024626215101194,4,0.5,0.7798747186020849
Eurasian Wigeon,3,0.4907471266666667,0.05070549727549644,0.04300122583942199,0.15211649182648931,0.3053151689832158,0.9159455069496474,0.07925229014183653,0.23775687042550958,3,0,0.763829015123158
Red Crossbill,2,0.646401405,0.12020757945899349,0.12020757945899349,0.24041515891798698,0.496308122766767,0.992616245533534,0.1864369259428852,0.3728738518857704,2,0,0.7522010866155471
Greater White-fronted Goose,3,0.4848039666666667,0.04907699665866288,0.04782188768848441,0.14723098997598866,0.298589441680122,0.8957683250403661,0.07667569392955167,0.23002708178865505,3,0,0.7485373350643774
Dartford Warbler,2,0.617030835,0.7556892078174147,0.7556892078174147,1.5113784156348293,0.38253852462162663,0.7650770492432533,0.7239340049873426,1.4478680099746852,2,1,-0.7463013663915761
Mew Gull,2,0.65511924,0.1595268743344445,0.1595268743344445,0.319053748668889,0.5270167260749113,1.0540334521498227,0.24145312411752629,0.48290624823505257,2,0,0.7349797034809337
Collared Flycatcher,15,0.5825509666666667,0.3426736447959349,0.32027610980475346,5.140104671939023,0.3906368197144402,5.859552295716603,0.3537628049180377,5.306442073770565,4,0.5,0.7194476237775804
Marmora's Warbler,3,0.49964808,0.04829017514107425,0.051958437917582104,0.14487052542322273,0.2789491965028416,0.8368475895085249,0.07607653564954737,0.22822960694864214,3,0,0.6919770640853021
European Roller,2,0.60709513,0.0952741980251553,0.0952741980251553,0.1905483960503106,0.438867027215366,0.877734054430732,0.1490497330316003,0.2980994660632006,2,0,0.6871856583804214
Sardinian Warbler,2,0.582375815,0.08764633826535903,0.08764633826535903,0.17529267653071806,0.4090450416538989,0.8180900833077978,0.13700008901245583,0.27400017802491167,2,0,0.6427974067770796
Pied Avocet,3,0.6925071666666667,0.339778923511913,0.327464550043871,1.019336770535739,0.5518639047787459,1.6555917143362378,0.3790814668847239,1.1372444006541715,3,0.3333333333333333,0.6362549438004987
Horned Lark,2,0.575490295,0.08334694149501937,0.08334694149501937,0.16669388299003873,0.3989340582160478,0.7978681164320957,0.1304581103001877,0.2609162206003754,2,0,0.6311742334420569
Common Quail,3,0.6877671166666667,0.3434283264162852,0.22866376954657214,1.0302849792488555,0.5498291426811291,1.6494874280433873,0.3828901003559664,1.1486703010678991,3,0.3333333333333333,0.6192024487945318
Eurasian Linnet,4,0.564504135,0.23398139095252443,0.21525402000230115,0.9359255638100977,0.38854490434049105,1.5541796173619642,0.25356512229789796,1.0142604891915918,4,0.25,0.6182540535518665
Whooper Swan,34,0.5670298223529412,0.4184915810416881,0.328360491838549,14.228713755417395,0.4004933727802109,13.61677467452717,0.4209959615471187,14.313862692602035,6,0.5,-0.6119390808902256
Middle Spotted Woodpecker,12,0.5700871666666667,0.43999233920454506,0.40563055170306517,5.279908070454541,0.38994885263551105,4.6793862316261325,0.44163949975067146,5.299673997008058,1,1,-0.6005218388284081
Common Snipe,17,0.5693309829411765,0.36750548122048127,0.27890852640943475,6.247593180748182,0.40197885964156543,6.833640613906613,0.37535730356563823,6.38107416061585,4,0.5,0.5860474331584307
Tawny Pipit,2,0.5489779800000001,0.07552594550120567,0.07552594550120567,0.15105189100241134,0.36821810235932856,0.7364362047186571,0.11808287555020308,0.23616575110040616,2,0,0.5853843137162458
Common Cuckoo,4,0.551074425,0.2329424895797255,0.1914068020145196,0.931769958318902,0.37699976194812074,1.507999047792483,0.2518567752052872,1.0074271008211488,4,0.25,0.576229089473581
Yellowhammer,2,0.5358439349999999,0.07136638337393182,0.07136638337393182,0.14273276674786364,0.3530341239701984,0.7060682479403968,0.11153694013162634,0.22307388026325267,2,0,0.5633354811925332
Ruddy Shelduck,2,0.598178065,0.07806771738280746,0.07806771738280746,0.15613543476561492,0.3579536996317791,0.7159073992635582,0.12471390951178002,0.24942781902356004,2,0,0.5597719644979433
Small Buttonquail,2,0.532885185,0.07339100327942494,0.07339100327942494,0.14678200655884988,0.3526955065117966,0.7053910130235932,0.11450065230016257,0.22900130460032514,2,0,0.5586090064647433
Lady Amherst's Pheasant,2,0.525548385,0.06979944520316578,0.06979944520316578,0.13959889040633155,0.34304064680874924,0.6860812936174985,0.10895232567975915,0.2179046513595183,2,0,0.5464824032111669
Eurasian Crag-Martin,2,0.52153339,0.06878061473384182,0.06878061473384182,0.13756122946768365,0.3387654467331753,0.6775308934663506,0.1073357066583267,0.2146714133166534,2,0,0.539969663998667
Common Nightingale,3,0.54513689,0.5474590204397349,0.45273482148373595,1.6423770613192048,0.36955552452071366,1.108666573562141,0.5341462258695444,1.6024386776086332,3,0.6666666666666666,-0.5337104877570638
Great Reed Warbler,2,0.5162529650000001,0.06593009652761243,0.06593009652761243,0.13186019305522487,0.33154134712461336,0.6630826942492267,0.10292992770224596,0.20585985540449192,2,0,0.5312225011940018
White-winged Snowfinch,2,0.51312344,0.06530704957020718,0.06530704957020718,0.13061409914041436,0.3284178160331244,0.6568356320662488,0.3564242793409874,0.7128485586819748,2,0,0.5262215329258345
Rough-legged Hawk,2,0.51275162,0.06665910898959482,0.06665910898959482,0.13331821797918963,0.32960532539265636,0.6592106507853127,0.1039644631061141,0.2079289262122282,2,0,0.5258924328061231
Northern Fulmar,2,0.5054335,0.06321904595967107,0.06321904595967107,0.12643809191934213,0.32018941378892707,0.6403788275778541,0.09862265138245324,0.19724530276490648,2,0,0.513940735658512
Eurasian Dotterel,2,0.501974935,0.06292750154710136,0.06292750154710136,0.12585500309420272,0.3172377994452059,0.6344755988904118,0.09812065047935542,0.19624130095871084,2,0,0.5086205957962091
Western Bonelli's Warbler,2,0.50122137,0.06190057726253686,0.06190057726253686,0.12380115452507372,0.31551471777648255,0.6310294355529651,0.09654741871702507,0.19309483743405015,2,0,0.5072282810278914
Common Rosefinch,2,0.49814716,0.06096732965521971,0.06096732965521971,0.12193465931043942,0.3121458111045742,0.6242916222091484,0.09507656470319056,0.19015312940638113,2,0,0.5023569628987089
Lesser Kestrel,2,0.496857135,0.06100575244892436,0.06100575244892436,0.12201150489784872,0.3112233593138498,0.6224467186276996,0.09511420722858921,0.19022841445717842,2,0,0.5004352137298509
Great Skua,2,0.484987735,0.05781543156764563,0.05781543156764563,0.11563086313529126,0.29880804590134136,0.5976160918026827,0.09006709302799315,0.1801341860559863,2,0,0.48198522866739146
Eurasian Nightjar,2,0.47900132500000003,0.056486271259092224,0.056486271259092224,0.11297254251818445,0.29293534872815497,0.5858706974563099,0.0879510498829715,0.175902099765943,2,0,0.4728981549381255
Wood Sandpiper,2,0.46751725,0.053283736922455936,0.053283736922455936,0.10656747384491187,0.28100307437826433,0.5620061487565287,0.08289140289953797,0.16578280579907595,2,0,0.45543867491161677
European Bee-eater,1,0.81063586,0.2839232717594877,0.2839232717594877,0.2839232717594877,0.7287479807083314,0.7287479807083314,0.42883615466709296,0.42883615466709296,1,0,0.44482470894884363
European Pied Flycatcher,7,0.5354849071428571,0.4149071521125519,0.42440780983628495,2.9043500647878635,0.354966164211745,2.4847631494822147,0.41323674696217766,2.8926572287352434,4,0.5,-0.41958691530564884
Red-flanked Bluetail,1,0.75621206,0.22844207532840594,0.22844207532840594,0.22844207532840594,0.6447987661254424,0.6447987661254424,0.3487224906665305,0.3487224906665305,1,0,0.41635669079703647
Subalpine Warbler,1,0.7538783,0.22635250897394601,0.22635250897394601,0.22635250897394601,0.641273854297333,0.641273854297333,0.3456607595598772,0.3456607595598772,1,0,0.414921345323387
White-winged Crossbill,2,0.501636875,0.05266192029067238,0.05266192029067238,0.10532384058134477,0.2595065026744989,0.5190130053489977,0.08359026475831778,0.16718052951663556,2,0,0.413689164767653
Eurasian Coot,8,0.57677691625,0.366573089857507,0.26731957574648046,2.932584718860056,0.41408658986880287,3.312692718950423,0.3758945124220711,3.007156099376569,4,0.5,0.38010800009036716
Common Ringed Plover,1,0.692852,0.1780069450252524,0.1780069450252524,0.1780069450252524,0.5519602643172117,0.5519602643172117,0.2739773815407333,0.2739773815407333,1,0,0.3739533192919593
European Starling,1,0.68616617,0.173344643157604,0.173344643157604,0.173344643157604,0.5425435127663524,0.5425435127663524,0.2669809835483882,0.2669809835483882,1,0,0.36919886960874837
Ruff,1,0.6797722,0.16898674795839735,0.16898674795839735,0.16898674795839735,0.533611019292297,0.533611019292297,0.2604284221347095,0.2604284221347095,1,0,0.3646242713338997
Black-crowned Night-Heron,1,0.6443322,0.14647842017973298,0.14647842017973298,0.14647842017973298,0.48543978326803316,0.48543978326803316,0.22638748252420074,0.22638748252420074,1,0,0.33896136308830016
Golden Eagle,1,0.63454306,0.14071355935229368,0.14071355935229368,0.14071355935229368,0.4725446451965663,0.4725446451965663,0.21761630357753492,0.21761630357753492,1,0,0.3318310858442726
Bluethroat,1,0.62343526,0.1343898463694459,0.1343898463694459,0.1343898463694459,0.458132403566013,0.458132403566013,0.20797048691640743,0.20797048691640743,1,0,0.3237425571965671
Osprey,2,0.48757005,0.04060111267710011,0.04060111267710011,0.08120222535420021,0.1950102681560947,0.3900205363121894,0.06645069986472546,0.13290139972945092,2,0,0.3088183109579892
Lesser Whitethroat,14,0.5818175242857143,0.3922240342089,0.3452888034770596,5.4911364789246,0.41401472349739193,5.796206128963488,0.40092730997580917,5.612982339661328,4,0.5,0.3050696500388872
Common Scoter,1,0.5650934,0.10460477076018762,0.10460477076018762,0.10460477076018762,0.38633664223262093,0.38633664223262093,0.16220229259678282,0.16220229259678282,1,0,0.2817318714724333
White Stork,1,0.56373286,0.10397331270634666,0.10397331270634666,0.10397331270634666,0.3847411547986038,0.3847411547986038,0.1612261292003978,0.1612261292003978,1,0,0.28076784209225714
Mediterranean Flycatcher,1,0.67246586,0.12051820759705133,0.12051820759705133,0.12051820759705133,0.3800086065636982,0.3800086065636982,0.19547023564360486,0.19547023564360486,1,0,0.2594903989666469
Water Pipit,1,0.53318430000000006,0.09048276689878752,0.09048276689878752,0.09048276689878752,0.3498628684454493,0.3498628684454493,0.1403157452374905,0.1403157452374905,1,0,0.25938010154666175
Common Pochard,1,0.5284641,0.08851172308472631,0.08851172308472631,0.08851172308472631,0.3446346806931451,0.3446346806931451,0.13725196978489534,0.13725196978489534,1,0,0.2561229576084188
Rock Sparrow,1,0.5211301,0.0855071752773993,0.0855071752773993,0.0855071752773993,0.3365964974671043,0.3365964974671043,0.13257763545235668,0.13257763545235668,1,0,0.251089322189705
Western Orphean Warbler,1,0.5145341,0.08286425130617325,0.08286425130617325,0.08286425130617325,0.3294553862338891,0.3294553862338891,0.12846189642507316,0.12846189642507316,1,0,0.24659113492771584
Common Redshank,1,0.5139923,0.08264962487801931,0.08264962487801931,0.08264962487801931,0.3288725148819106,0.3288725148819106,0.12812750400222506,0.12812750400222506,1,0,0.2462228900038913
Great Black-backed Gull,3,0.5465683833333334,0.2852849666357945,0.3234067605267044,0.8558548999073834,0.3663209345502875,1.0989628036508625,0.29961454287822864,0.8988436286346858,3,0.3333333333333333,0.24310790374347913
Garden Warbler,1,0.54411656,0.6025704806270523,0.6025704806270523,0.6025704806270523,0.36213685363236175,0.36213685363236175,0.5667127592405298,0.5667127592405298,1,1,-0.24043362699469056
Twite,1,0.5022717,0.07809689666175985,0.07809689666175985,0.07809689666175985,0.3164006629306035,0.3164006629306035,0.12102867345279307,0.12102867345279307,1,0,0.23830376626884364
Black Tern,1,0.49915445,0.07691472069343157,0.07691472069343157,0.07691472069343157,0.31312764891132777,0.31312764891132777,0.11918366143854975,0.11918366143854975,1,0,0.2362129282178962
Mediterranean Gull,1,0.49727008,0.07620586684436702,0.07620586684436702,0.07620586684436702,0.31115806559599596,0.31115806559599596,0.11807703044824144,0.11807703044824144,1,0,0.23495219875162893
River Warbler,1,0.49184805,0.0741902868918676,0.0741902868918676,0.0741902868918676,0.3055283675736882,0.3055283675736882,0.11492907377647398,0.11492907377647398,1,0,0.23133808068182057
Pin-tailed Sandgrouse,1,0.4881342,0.07283013596452934,0.07283013596452934,0.07283013596452934,0.3017043370149696,0.3017043370149696,0.3204092472341686,0.3204092472341686,1,0,0.2288742010504403
Savi's Warbler,1,0.48778033,0.07270139622662315,0.07270139622662315,0.07270139622662315,0.30134132609146963,0.30134132609146963,0.11260247521189468,0.11260247521189468,1,0,0.2286399298648465
White-tailed Eagle,1,0.48502633,0.07170456895244771,0.07170456895244771,0.07170456895244771,0.29852424649723086,0.29852424649723086,0.11104422316949344,0.11104422316949344,1,0,0.22681967754478316
Greater Short-toed Lark,1,0.48060077,0.07012151031876457,0.07012151031876457,0.07012151031876457,0.2940271900771545,0.2940271900771545,0.10856864859848235,0.10856864859848235,1,0,0.22390567975838993
Mallard,1,0.46616498,0.065116350170483,0.065116350170483,0.065116350170483,0.27961286384486744,0.27961286384486744,0.1007345711743296,0.1007345711743296,1,0,0.21449651367438444
Yellow-legged Gull,1,0.46356636,0.06424076577107786,0.06424076577107786,0.06424076577107786,0.2770592970940022,0.2770592970940022,0.09936306874012565,0.09936306874012565,1,0,0.21281853132292433
Pink-footed Goose,4,0.5617471549999999,0.43834826314131947,0.46531755681311193,1.7533930525652779,0.3858846599724174,1.5435386398896696,0.4398062565134575,1.75922502605383,4,0.5,-0.20985441267560834
Eurasian Thick-knee,1,0.78177744,0.7448717096176963,0.7448717096176963,0.7448717096176963,0.5468591693579642,0.5468591693579642,0.7616352687897909,0.7616352687897909,1,1,-0.19801254025973214
Common Swift,2,0.696019615,0.4792838744143319,0.4792838744143319,0.9585677488286638,0.5727915684159414,1.1455831368318827,0.5155680837491872,1.0311361674983743,2,0.5,0.18701538800321893
Cetti's Warbler,1,0.738174,0.7592660118289686,0.7592660118289686,0.7592660118289686,0.6177481608852623,0.6177481608852623,0.7698641119997524,0.7698641119997524,1,1,-0.14151785094370628
Short-toed Treecreeper,44,0.5821219377272727,0.4203633341365729,0.3312095216501365,18.495986702009205,0.41722461473358696,18.357883048277824,0.42538000772451623,18.716720339878716,6,0.5,-0.13810365373138112
Common Tern,1,0.4552941,0.03916434545945671,0.03916434545945671,0.03916434545945671,0.17034485811421843,0.17034485811421843,0.06421761761371937,0.06421761761371937,1,0,0.13118051265476172
Great Crested Grebe,2,0.46879912999999995,0.3470050640296235,0.3470050640296235,0.694010128059247,0.2824986571061562,0.5649973142123124,0.33666004953010376,0.6733200990602075,2,0.5,-0.12901281384693464
Barnacle Goose,10,0.569843854,0.3915163870377842,0.3370851800459377,3.915163870377842,0.40346881720037914,4.034688172003792,0.39816536021313287,3.981653602131329,4,0.5,0.11952430162594974
Little Grebe,2,0.48014058000000004,0.3526044824864218,0.3526044824864218,0.7052089649728436,0.2940504326601666,0.5881008653203332,0.34444982497349247,0.6888996499469849,2,0.5,-0.11710809965251034
Aquatic Warbler,6,0.6184929016666667,0.4721949454783507,0.3782239393852475,2.8331696728701043,0.4659228446207539,2.7955370677245233,0.48076832560948907,2.884609953656934,4,0.5,-0.03763260514558109
Common House-Martin,4,0.601722575,0.45099155355520937,0.3527754192020067,1.8039662142208375,0.44554797689869685,1.7821919075947874,0.4577677395361942,1.8310709581447768,4,0.5,-0.021774306626050066
