predicted_species,random_intercept,random_intercept_se,random_score_slope,random_score_slope_se,validation_n,validation_events,confirmation_rate,score_min,score_max,model_id
European Pied Flycatcher,1.3933343800505305,0.9556230559165496,0.15507262600103314,0.8451597111405691,4,4,0.5,0.47429967,0.6310165,M4
European Robin,2.941082059877354,0.6186280819023161,-0.07494568936404537,0.7107897721283813,32,32,0.90625,0.45424584,0.9797769,M4
European Roller,-1.0227759879723717,1.6579568678448948,-0.07103307999670529,0.8537762234367896,2,2,0,0.5675431,0.64664716,M4
European Serin,-1.5824640903462102,1.3795700212683661,-0.007001568098213582,0.7116615505624001,6,6,0.16666666666666666,0.5462366,0.94396657,M4
European Starling,-0.9292630344707591,1.7392215619583107,-0.1040970849811241,0.8460233946796236,1,1,0,0.68616617,0.68616617,M4
European Stonechat,3.557609955173919,1.1712304381490592,0.04112419387657285,0.8548626523622814,4,4,1,0.48983932,0.6034755,M4
European Storm-Petrel,2.225592850718057,0.9723162180207336,0.023136428861815,0.8500431381616652,4,4,0.75,0.49984306,0.63268185,M4
European Turtle-Dove,-0.9792219730011166,1.568667445612008,0.02025249232823272,0.7848926830114867,4,4,0.25,0.50113934,0.9621485,M4
Fieldfare,0.07908842002697479,1.2139267609734303,-0.8965265338004317,0.7271976951721341,4,4,0.25,0.4819466,0.8694324,M4
Garden Warbler,2.099380427863147,1.520862333037031,0.053190552668902706,0.8608432540833858,1,1,1,0.54411656,0.54411656,M4
Goldcrest,1.667612145915223,0.9144140005104615,-0.6565086267094338,0.7281526974228736,6,6,0.6666666666666666,0.47219977,0.9119652,M4
Golden Eagle,-0.7586083172223588,1.7840584348259751,-0.0599399127284993,0.8546227132831042,1,1,0,0.63454306,0.63454306,M4
Gray Heron,-1.6293716749367992,1.5346952468620336,-0.2232386962407641,0.8142178812323663,4,4,0,0.4508666,0.7860268,M4
Gray Partridge,0.587187484516878,0.968070335977296,0.39426792230392926,0.8043605544643524,6,6,0.3333333333333333,0.4688923,0.7568923,M4
Gray Wagtail,0.7041200531477667,0.7518912622013577,0.264841760088168,0.792996442519253,10,10,0.3,0.4532915,0.76705384,M4
Gray-headed Woodpecker,-2.3144244846732374,1.4948672188775827,-0.5106320659577659,0.7257613895574825,10,10,0,0.4523584,0.903351,M4
Graylag Goose,1.9072130566661862,1.0200667957994756,0.2479676143718771,0.8238106851796199,6,6,0.8333333333333334,0.51443547,0.97578543,M4
Great Bittern,-2.091285155885683,1.7844341434279762,-0.8185639082436013,0.6609994477929233,2,2,0,0.756963,0.95216435,M4
Great Black-backed Gull,0.7459582006303991,1.13083603890991,0.079117229587421,0.8559528191093307,3,3,0.3333333333333333,0.49271402,0.5737077,M4
Great Crested Grebe,1.6621430224684253,1.2527175052991217,0.019114429478247385,0.860571861187002,2,2,0.5,0.45130348,0.48629478,M4
Great Reed Warbler,-0.6944651891412846,1.774721553948338,-0.007193379902745428,0.8616352455607245,2,2,0,0.50065213,0.5318538,M4
Great Skua,-0.6011030366635771,1.820360830349794,0.004286532855659603,0.8616686464935935,2,2,0,0.4664486,0.50352687,M4
Great Spotted Woodpecker,2.6381563513426305,1.3302133811259842,0.15738572255959776,0.8280494305271403,5,5,1,0.5302431,0.9197549,M4
Great Tit,3.0813799171408216,1.3556291913108791,0.0072012554991439555,0.8349980896676478,3,3,1,0.45516548,0.7589116,M4
Greater Short-toed Lark,-0.36089430036974,1.970756672298047,0.004012300635198876,0.8618209249105563,1,1,0,0.48060077,0.48060077,M4
Greater White-fronted Goose,-0.7681698140008973,1.7319592510207102,0.005641480291658666,0.8616171173142434,3,3,0,0.4646905,0.5075931,M4
Greater Whitethroat,-1.0840638880158064,1.6085065394475344,-0.0323414817176105,0.855820565795646,4,4,0,0.46172923,0.6212063,M4
Green Sandpiper,0.39378258944713357,1.2218582342772997,-0.586035009039973,0.7188887639715185,4,4,0.5,0.480276,0.9021706,M4
Green-winged Teal,-0.9968964303271781,1.6387134880829946,-0.04212291098413241,0.8565147396931985,4,4,0,0.509468,0.6395393,M4
Hawfinch,1.595514096432468,0.9435072963061544,-0.8736862830925339,0.6973951680157479,6,6,0.6666666666666666,0.46613753,0.9795949,M4
Hazel Grouse,-1.389222010121141,1.544208911194689,-0.12050002893906471,0.8395486060675281,4,4,0,0.4639603,0.70925665,M4
Herring Gull,1.6120385012787164,1.0970756875713359,0.3125326524776114,0.8044981621398729,4,4,0.75,0.49660635,0.8063444,M4
Hooded Crow,2.2137031758650028,1.1655978450228195,0.1245071714394575,0.8207942836649964,3,3,0.6666666666666666,0.45689526,0.765866,M4
Horned Lark,-0.8921257402090409,1.6952847300074612,-0.040047775767696164,0.8589768781008355,2,2,0,0.55832505,0.59265554,M4
Iberian Chiffchaff,-1.4269110740735202,1.490777807326689,-0.056296236934529356,0.8563933932732779,6,6,0,0.4879123,0.624374,M4
Iberian Green Woodpecker,-1.3693842065364843,1.5647988921889786,-0.14524202354982438,0.8348945586858996,4,4,0,0.46662453,0.7160364,M4
Lady Amherst's Pheasant,-0.7397920368398871,1.7567177024676812,-0.01606260936964865,0.8603121425811303,2,2,0,0.4845635,0.56653327,M4
