predicted_species,random_intercept,random_intercept_se,random_score_slope,random_score_slope_se,validation_n,validation_events,confirmation_rate,score_min,score_max,model_id
Rock Bunting,0.5776384172120235,1.09496591906533,0.18819012200157226,0.8099520718869947,4,4,0.5,0.5604796,0.86531985,M4
Rock Partridge,-1.1301508940815677,1.5896064349530348,-0.03505190944554989,0.858007833714422,4,4,0,0.48008925,0.60807043,M4
Rock Pigeon,0.7819689049315742,0.8826884347118896,0.2522263258473978,0.824381265115715,6,6,0.3333333333333333,0.4555873,0.69161826,M4
Rock Sparrow,-0.44883980184473565,1.9182387465504007,-0.005435788432552043,0.861786094825889,1,1,0,0.5211301,0.5211301,M4
Rook,3.2115436404264135,0.8351592189084495,-0.03048835698603724,0.8273363597636306,10,10,0.9,0.46516174,0.91185945,M4
Rose-ringed Parakeet,4.52763005530014,1.0058669435293595,0.1147219310061258,0.8135888265970624,38,38,1,0.4508573,0.9950531,M4
Rough-legged Hawk,-0.7041961933776042,1.7729468092243066,-0.011473525038600677,0.8603616170312661,2,2,0,0.46624634,0.5592569,M4
Ruddy Shelduck,-0.8417561450315715,1.716714721848164,-0.04742077619379634,0.8570810990773946,2,2,0,0.56911683,0.6272393,M4
Ruff,-0.9071968978544415,1.7439671821237954,-0.0977887441537133,0.847324121168773,1,1,0,0.6797722,0.6797722,M4
Sardinian Warbler,-0.9401611756631504,1.6836221989591265,-0.053788953924977165,0.8558210254108728,2,2,0,0.53551763,0.629234,M4
Savi's Warbler,-0.3756020023967434,1.9614722331290646,0.0026295701170351597,0.8618763079013276,1,1,0,0.48778033,0.48778033,M4
Sedge Warbler,-1.0243604512001296,1.6225999673862013,-0.012711191720202027,0.8608880126531837,4,4,0,0.4599878,0.54621375,M4
Short-toed Treecreeper,1.0250767033890795,0.9263011811080456,0.048693759488151994,0.7801557516221619,6,6,0.5,0.45196015,0.87817514,M4
Siberian Accentor,1.5321020895013047,1.073748494732725,0.2234918835756792,0.8236477474188495,4,4,0.75,0.5684186,0.7607654,M4
Small Buttonquail,-0.7815403038761921,1.7418898956659368,-0.025319702125779813,0.8586622819575954,2,2,0,0.47554177,0.5902286,M4
Song Thrush,0.20166710886718073,2.1092098419307876,0.07085288841557645,0.8072676297180433,1,1,1,0.92081106,0.92081106,M4
Spectacled Warbler,1.7668004285502408,0.9661038167157858,0.09683967423510674,0.849552131639846,4,4,0.5,0.46857417,0.5969725,M4
Spotted Crake,-0.09475179958924146,1.127998872758843,0.1808117617498844,0.8251863648012728,4,4,0.25,0.50871366,0.7065019,M4
Spotted Flycatcher,0.552723465719229,0.9696008042728822,-0.717035072431834,0.6920417481622654,6,6,0.3333333333333333,0.46577254,0.88392234,M4
Stock Dove,1.3905608184394254,1.1566585029832321,-0.017700163649883298,0.8121144891133414,4,4,0.75,0.5046515,0.96726614,M4
Subalpine Warbler,-1.1773640952079745,1.706037233630199,-0.1887334419208919,0.827273197791958,1,1,0,0.7538783,0.7538783,M4
Tawny Owl,1.2575161213304578,0.5723239673364529,0.6062200399898602,0.6533002067028859,36,36,0.75,0.46462962,0.99261487,M4
Tawny Pipit,-0.8042870909712398,1.7283931688241285,-0.02461442616907042,0.8603233228300691,2,2,0,0.5251763,0.57277966,M4
Twite,-0.40642759328309647,1.9426769172161107,-5.28868917155141e-4,0.8619130301540991,1,1,0,0.5022717,0.5022717,M4
Ural Owl,-2.3007115183293467,1.5455878716042093,-0.5617932123147928,0.7304361815159813,6,6,0,0.53960425,0.904378,M4
Water Pipit,-0.47731720854004245,1.9027213544277497,-0.009086351300592327,0.8615848633534281,1,1,0,0.53318430000000006,0.53318430000000006,M4
Water Rail,-1.3470367309128386,1.5448347375131941,-0.09873802638384065,0.8450363093699432,4,4,0,0.49620607,0.6958819,M4
Western Bonelli's Warbler,-0.6480870860869158,1.796653699529948,-0.0010932610272425384,0.8617747686908761,2,2,0,0.4860405,0.51640224,M4
Western Capercaillie,-2.382955547057499,1.4964707370557409,-0.5571397902421297,0.7080442772084092,10,10,0,0.4588174,0.916638,M4
Western Orphean Warbler,-0.4337090591369627,1.9267721404540241,-0.003611768403096766,0.8618550664934496,1,1,0,0.5145341,0.5145341,M4
Western Yellow Wagtail,0.14119686963501313,1.2170997418232714,0.3059629573215012,0.8024698799578555,4,4,0.25,0.46994802,0.75177276,M4
Whinchat,0.07435448262074296,1.2334685507113674,-0.21794878937548037,0.7467234743022473,4,4,0.5,0.561222,0.935205,M4
White Stork,-0.5542692277651606,1.8642031365105447,-0.020345288930017174,0.8605748828110588,1,1,0,0.56373286,0.56373286,M4
White Wagtail,-1.19088835333621,1.5932997652587992,-0.0812678446233361,0.8504742923248577,3,3,0,0.50373846,0.66764176,M4
White-tailed Eagle,-0.36991623508884236,1.9650368524222515,0.0031737478754072495,0.8618577792948837,1,1,0,0.48502633,0.48502633,M4
White-winged Crossbill,-0.5518816573424171,1.8467771917665037,-9.830607745135261e-5,0.8618974930668573,2,2,0,0.495774,0.50749975,M4
White-winged Snowfinch,-0.6875011493238131,1.7782934106330692,-0.006640251055738453,0.8614981776105989,2,2,0,0.49074313,0.53550375,M4
White-winged Tern,-1.5623129919530456,1.586201048738183,-0.2516385119430276,0.8188574017241013,2,2,0,0.7042973,0.78014046,M4
Whooper Swan,1.0329907015806592,0.9565490188385245,0.414188618157055,0.7821968169515175,6,6,0.5,0.45030275,0.8104594,M4
Willow Tit,1.383553109770279,0.9813155272487478,0.36634479130993214,0.798753932418408,6,6,0.6666666666666666,0.45567042,0.90894824,M4
Willow Warbler,0.23348956396495124,1.0212002894364136,-0.15504763767156993,0.7457493704141975,6,6,0.3333333333333333,0.48096263,0.87423605,M4
Wood Lark,1.6425808464017366,1.5587679054540102,0.19673904879057832,0.8300035329598302,2,2,1,0.6658773,0.8058362,M4
Wood Sandpiper,-0.5486483831014751,1.8480627256879838,0.01007872223556412,0.8615355136022194,2,2,0,0.4597222,0.4753123,M4
Wood Warbler,2.025365602649667,0.8693985916283755,0.27804424766100205,0.8341766246876369,6,6,0.6666666666666666,0.48773438,0.8553934,M4
Yellow-billed Chough,-1.4424780354048072,1.564473072111504,-0.19289214827323756,0.8138600430681653,4,4,0,0.47062737,0.79800713,M4
Yellow-browed Warbler,1.5584991703932858,0.8740465500935928,0.1442792420248355,0.8289173411745705,6,6,0.6666666666666666,0.5384743,0.87047243,M4
Yellow-headed Parrot,-1.58161506760786,1.5269543154600507,-0.19151887093703499,0.8228455799006587,4,4,0,0.5098399,0.7689509,M4
Yellow-legged Gull,-0.32748124656957767,1.99263336318608,0.006846526801000072,0.861605749958527,1,1,0,0.46356636,0.46356636,M4
Yellowhammer,-0.756736623194043,1.7472114247660697,-0.016264443445226182,0.8611980534491206,2,2,0,0.52122074,0.55046713,M4
