analysis_set,model_id,model_label,term,estimate,std_error,statistic,p_value,conf_low,conf_high,odds_ratio,odds_ratio_low,odds_ratio_high
Primary,M1,M1: Score,(Intercept),-0.8308360456702527,0.08494839606727066,-9.780479492659442,1.3656203313791484e-22,-0.9973349019621032,-0.6643371893784022,0.4356848815544293,0.3688611835870948,0.5146145066529529
Primary,M1,M1: Score,logit_score,1.1924027146502867,0.09482620667054543,12.57461156063165,2.9122819454696692e-36,1.0065433495760177,1.3782620797245557,3.294988621382361,2.73612681603472,3.9679995647180797
Primary,M2,M2: Score + event,(Intercept),-0.7814213867607965,0.08665781300760798,-9.017321804465489,1.9274357274644485e-19,-0.9512707002557081,-0.6115720732658849,0.4577549019184377,0.38624990363622747,0.5424973527700973
Primary,M2,M2: Score + event,logit_score,1.2170027194198345,0.09622048668709535,12.648062396290637,1.1466796888798982e-36,1.0284105655131277,1.4055948733265413,3.3770505811401974,2.796617260356684,4.077951884672558
Primary,M2,M2: Score + event,actual_multi_event,-0.5835522289743916,0.21731124936890334,-2.685329133531255,0.007245841298236086,-1.0094822777374421,-0.1576221802113411,0.5579130076773164,0.3644075926660797,0.8541724442629132
Primary,M3,M3: Species-aware,(Intercept),-2.062157068191627,0.2631653661698363,-7.835974384489462,4.652207201166096e-15,-2.577961185884506,-1.5463529504987479,0.12717933929541594,0.07592865072620647,0.21302346596336844
Primary,M3,M3: Species-aware,logit_score,1.83962108161829,0.18322929390723197,10.03999438293792,1.0167994713947155e-23,1.4804916655601155,2.198750497676465,6.2941528389071,4.395106072068964,9.01374376634173
Primary,M3,M3: Species-aware,actual_multi_event,-0.5958786269117371,0.36952623748095853,-1.6125475445906392,0.10684284261574627,-1.3201500523744158,0.12839279855094166,0.551078160990695,0.26709522068672087,1.1369995267608495
Primary,M4,M4: Random score slope,(Intercept),-2.0768122328216254,0.26790069259448285,-7.752171943673412,9.033395793701903e-15,-2.6018975903068116,-1.551726875336439,0.12532909606528214,0.07413277103168672,0.21188176432561628
Primary,M4,M4: Random score slope,logit_score,2.000921354218073,0.24534918745863926,8.155402408069465,3.480191540487468e-16,1.5200369467991401,2.481805761637006,7.395867174159601,4.572394127348801,11.962846975644993
Primary,M4,M4: Random score slope,actual_multi_event,-0.5795812544509744,0.3826476692465703,-1.5146603547649056,0.1298584391917962,-1.329570686174252,0.17040817727230329,0.5601328706096437,0.26459082942113393,1.1857887645759029
Audio_only,M2,M2: Score + event,(Intercept),-0.676904939175202,0.09389941117225872,-7.208830499835809,5.643445626436821e-13,-0.8609477850728291,-0.4928620932775749,0.5081874318209998,0.42276120561522695,0.6108755070962488
Audio_only,M2,M2: Score + event,logit_score,1.5795961501330886,0.1275411203116659,12.384995100192848,3.151041390252843e-35,1.3296155543222234,1.8295767459439538,4.852995533834731,3.779590061161372,6.231248699014477
Audio_only,M2,M2: Score + event,actual_multi_event,-0.31948020524195836,0.24756585815916646,-1.2904857221328003,0.19688206602262615,-0.8047092872339245,0.16574887675000788,0.7265265836515842,0.44721791962157126,1.180276669591176
Audio_only,M3,M3: Species-aware,(Intercept),-1.5787961740046537,0.2224055183679203,-7.098727520748328,1.2591077167795721e-12,-2.0147109900057774,-1.14288135800353,0.2062232056916546,0.13335893986340416,0.3188988350484994
Audio_only,M3,M3: Species-aware,logit_score,1.915270867020579,0.18936378847908625,10.114240332871802,4.7770848544903685e-24,1.54411784160157,2.286423892439588,6.788777403887851,4.683837917041195,9.83968690971527
Audio_only,M3,M3: Species-aware,actual_multi_event,-0.5333381659086958,0.3638003725207155,-1.4660187459767553,0.14264317994108625,-1.246386896049298,0.17971056423190668,0.5866433845048151,0.28754184081925777,1.1968708957371859
