predicted_species,random_intercept,random_intercept_se,random_score_slope,random_score_slope_se,validation_n,validation_events,confirmation_rate,score_min,score_max,model_id
Aquatic Warbler,0.9974345036939422,0.9935365071560353,,,4,4,0.5,0.50625736,0.7879544,M3
Atlantic Puffin,-0.4674632418396844,1.9482565119290147,,,1,1,0,0.5230721,0.5230721,M3
Barn Owl,3.029720561373055,1.2665465798686477,,,4,4,1,0.4914498,0.84594065,M3
Barn Swallow,0.4565421913036068,1.954476458102396,,,1,1,1,0.8974832,0.8974832,M3
Barnacle Goose,1.0117251576815056,1.016301168017496,,,4,4,0.5,0.45589954,0.77693087,M3
Bearded Reedling,-0.7828282516049219,1.8011874254837876,,,1,1,0,0.6410312,0.6410312,M3
Black Grouse,-1.5560493694751207,1.5192921558453198,,,3,3,0,0.53402424,0.757036,M3
Black Kite,2.781485887161851,0.9737912904851562,,,4,4,0.75,0.4762172,0.6820991,M3
Black Redstart,0.49128855793757154,0.8702319262237014,,,6,6,0.3333333333333333,0.47988847,0.7606214,M3
Black Tern,-0.4166452986701845,1.9779468544048124,,,1,1,0,0.49915445,0.49915445,M3
Black Woodpecker,-2.0369884000363663,1.37107441793851,,,10,10,0,0.47840142,0.7620054,M3
Black-bellied Plover,-1.0952645227705184,1.6385519621968958,,,3,3,0,0.5867141,0.59833974,M3
Black-crowned Night-Heron,-0.7934702824729305,1.7971315319187495,,,1,1,0,0.6443322,0.6443322,M3
Black-legged Kittiwake,-0.43542560225869803,1.0574871842338507,,,6,6,0.16666666666666666,0.4646868,0.8152123,M3
Black-tailed Godwit,-1.4291755679754672,1.52803445984193,,,4,4,0,0.4799847,0.6678322,M3
Bluethroat,-0.7279867520926915,1.8229034902225665,,,1,1,0,0.62343526,0.62343526,M3
Bohemian Waxwing,-0.049717065307839786,1.1073032674121732,,,4,4,0.25,0.4585801,0.7726548,M3
Boreal Owl,0.9501818056111065,1.738508084499326,,,2,2,1,0.8121141,0.9710118,M3
Canada Goose,-0.399684799268509,1.9883162782807204,,,1,1,0,0.49074268,0.49074268,M3
Carrion Crow,3.513201542122592,1.191689702652407,,,4,4,1,0.4586788,0.7123931,M3
Cetti's Warbler,1.3040505581954267,1.6498282597684444,,,1,1,1,0.738174,0.738174,M3
Cirl Bunting,-0.44653323708368986,1.0084021082186578,,,6,6,0.16666666666666666,0.49178466,0.75228566,M3
Coal Tit,3.2350984068978677,0.8362135082773858,,,10,10,0.9,0.46879467,0.9090139,M3
Collared Flycatcher,0.8186100230899099,0.9981975327352246,,,4,4,0.5,0.5139992,0.79407984,M3
Common Buzzard,1.847125322505929,1.0173408813003255,,,5,5,0.8,0.5486039,0.9182572,M3
Common Chaffinch,3.5865590499086064,1.182849498994189,,,4,4,1,0.45656562,0.7051435,M3
Common Chiffchaff,3.310980157664842,0.8374912309896682,,,10,10,0.9,0.45365593,0.9167599,M3
Common Crane,0.6568913631566635,0.8858322072970953,,,6,6,0.3333333333333333,0.48729172,0.77849716,M3
Common Cuckoo,0.3696005895084678,1.0893338894867406,,,4,4,0.25,0.46553132,0.67995936,M3
Common Firecrest,0.16369957700546667,0.8476035505928925,,,10,10,0.2,0.45792425,0.83949757,M3
Common Grasshopper-Warbler,0.7271623547147118,1.8232435785083623,,,1,1,1,0.85055256,0.85055256,M3
Common Greenshank,1.9800233530365017,1.549465292494197,,,1,1,1,0.5852649,0.5852649,M3
Common House-Martin,1.0619105748742885,1.0271569937182459,,,4,4,0.5,0.4810982,0.81944394,M3
Common Kingfisher,-0.31185621252817264,2.0460966580789512,,,1,1,0,0.5236875,0.5236875,M3
Common Murre,-1.2279184911765468,1.5929808376874248,,,4,4,0,0.4945436,0.6621253,M3
Common Nightingale,1.9372353540658005,1.0736133475901404,,,3,3,0.6666666666666666,0.48521027,0.65899277,M3
Common Pochard,-0.4794659978606839,1.9415310367324272,,,1,1,0,0.5284641,0.5284641,M3
Common Quail,-0.1640530462457388,1.1335458948098667,,,3,3,0.3333333333333333,0.6300448,0.79930425,M3
Common Raven,1.7231181362296408,0.8881171250676225,,,6,6,0.6666666666666666,0.4622823,0.91191566,M3
Common Redshank,-0.44771114469825024,1.9595583688743639,,,1,1,0,0.5139923,0.5139923,M3
Common Ringed Plover,-0.9642595870469081,1.7383403032096845,,,1,1,0,0.692852,0.692852,M3
Common Rosefinch,-0.6605172850191898,1.8285327966530864,,,2,2,0,0.48944336,0.50685096,M3
Common Sandpiper,0.33335567382975007,1.2477327527326079,,,3,3,0.3333333333333333,0.45286947,0.7836845,M3
Common Scoter,-0.5666416724686782,1.8956911461063006,,,1,1,0,0.5650934,0.5650934,M3
Common Snipe,0.9259874624027907,1.0286139948831112,,,4,4,0.5,0.49299815,0.83264166,M3
Common Swift,0.22443756562072287,1.3900379634944022,,,2,2,0.5,0.553375,0.83866423,M3
Common Tern,-0.2121523716155072,2.1212510865714327,,,1,1,0,0.4552941,0.4552941,M3
Common Waxbill,-1.0158720338749194,1.6594835152573868,,,4,4,0,0.474183,0.53957665,M3
Common Wood-Pigeon,1.9025235546547472,0.8242912730210268,,,6,6,0.6666666666666666,0.48999977,0.8044104,M3
Corn Bunting,0.5205804914533402,1.076928012121515,,,4,4,0.5,0.50836205,0.89705837,M3
Corsican Finch,-1.630049669114377,1.510466266011475,,,4,4,0,0.46685046,0.78294885,M3
Corsican Nuthatch,-1.2437675658410794,1.5825816526551983,,,4,4,0,0.52140296,0.6368446,M3
Crested Lark,-1.4376311282060341,1.5433603545037797,,,4,4,0,0.45640486,0.73296916,M3
Crested Tit,-1.2650538337391273,1.5719134751830512,,,6,6,0,0.45711654,0.6453948,M3
Dartford Warbler,2.6468520489306204,1.35478863638058,,,2,2,1,0.6076001,0.62646157,M3
Dunnock,1.2727019385944374,1.2113108040532596,,,5,5,0.8,0.4523382,0.9849,M3
Egyptian Goose,0.3121492131809619,2.045898647532072,,,1,1,1,0.9423639,0.9423639,M3
Eurasian Blackbird,2.016962327835678,1.546151105870073,,,1,1,1,0.57650036,0.57650036,M3
Eurasian Blackcap,4.05395010884516,1.0813002345128553,,,10,10,1,0.46237567,0.9652659,M3
Eurasian Blue Tit,3.5210678468696477,0.7836333034000297,,,32,32,0.96875,0.46138903,0.98658746,M3
Eurasian Bullfinch,3.4135292971390467,0.8275584656902157,,,10,10,0.9,0.4591707,0.9031379,M3
Eurasian Collared-Dove,2.0325013557892095,0.822879466102022,,,6,6,0.6666666666666666,0.46943185,0.7600015,M3
Eurasian Coot,0.8373190728975978,1.064569375549552,,,4,4,0.5,0.46707198,0.84926534,M3
Eurasian Crag-Martin,-0.745166061745389,1.790450622504862,,,2,2,0,0.47906828,0.5639985,M3
Eurasian Curlew,0.5125300750658058,0.9000100861460966,,,6,6,0.3333333333333333,0.4605702,0.7786372,M3
Eurasian Dotterel,-0.6817536985458188,1.8193700740750927,,,2,2,0,0.46718857,0.5367613,M3
Eurasian Eagle-Owl,-1.2285277125070833,1.5866896942836435,,,4,4,0,0.48528132,0.6926492,M3
Eurasian Golden Oriole,0.011922652173685858,0.9864987191727034,,,6,6,0.3333333333333333,0.46687627,0.9003473,M3
Eurasian Green Woodpecker,3.912840555095117,0.7610030483197423,,,36,36,0.9722222222222222,0.46008307,0.9932766,M3
Eurasian Hobby,-0.11707227038674149,1.0234994419902432,,,6,6,0.16666666666666666,0.47218248,0.7800037,M3
Eurasian Hoopoe,-0.1429398238544165,1.0894419361825227,,,4,4,0.25,0.48410422,0.76691294,M3
Eurasian Jackdaw,3.599623771799378,0.6440334198740177,,,42,42,0.9523809523809523,0.45143342,0.99221826,M3
Eurasian Jay,0.8673756090237253,1.770162449697727,,,2,2,1,0.8250537,0.99571145,M3
Eurasian Kestrel,0.052408227835385374,2.269295331445941,,,1,1,1,0.97362196,0.97362196,M3
Eurasian Linnet,0.3470897687309924,1.0670427545848509,,,4,4,0.25,0.49634996,0.64814574,M3
Eurasian Magpie,-0.009490531502239417,1.377273198757752,,,4,4,0.75,0.6816606,0.99471515,M3
Eurasian Moorhen,2.9343376790651114,1.274692928964656,,,4,4,1,0.5231666,0.95958287,M3
Eurasian Nightjar,-0.6119697012418217,1.853656728713113,,,2,2,0,0.455336,0.50266665,M3
Eurasian Nutcracker,-1.0668580546953037,1.6433121830429827,,,4,4,0,0.4692543,0.5965649,M3
Eurasian Nuthatch,1.3192005413364922,0.6976006322940951,,,10,10,0.5,0.4629358,0.9344449,M3
Eurasian Oystercatcher,-1.198856976032595,1.6099143821123942,,,4,4,0,0.45416543,0.6787676,M3
Eurasian Penduline-Tit,-1.138782837205799,1.6182205496379092,,,4,4,0,0.46081445,0.5942314,M3
Eurasian Pygmy-Owl,-1.9709746010239302,1.455173722710316,,,4,4,0,0.5171884,0.83903164,M3
Eurasian Reed Warbler,-1.1074538245238559,1.6271481673816952,,,4,4,0,0.46662307,0.5856449,M3
Eurasian Scops-Owl,-0.18558121139811845,0.987682149731437,,,6,6,0.3333333333333333,0.46691138,0.9199725,M3
Eurasian Siskin,1.2656821438491443,0.8532288488940051,,,6,6,0.5,0.45545152,0.79839325,M3
Eurasian Thick-knee,1.3820241670574522,1.6337718008915614,,,1,1,1,0.78177744,0.78177744,M3
Eurasian Three-toed Woodpecker,-3.1515639789155023,1.3858235285240763,,,6,6,0,0.5115002,0.943582,M3
Eurasian Treecreeper,-0.32642628178848304,2.036006612437465,,,1,1,0,0.451454,0.451454,M3
Eurasian Wigeon,-0.8240115867141601,1.7444645340871732,,,3,3,0,0.4667895,0.5348269,M3
Eurasian Woodcock,2.5463126939198117,1.3827835346495017,,,4,4,1,0.5182914,0.9909566,M3
Eurasian Wren,2.92196787690895,0.5935385471976813,,,34,34,0.9117647058823529,0.47069576,0.98828703,M3
Eurasian Wryneck,0.5934765521592525,0.4130845970452839,,,37,37,0.5675675675675675,0.461979,0.96215445,M3
European Bee-eater,-1.538005928600258,1.6055777658647963,,,1,1,0,0.81063586,0.81063586,M3
European Golden-Plover,0.6316644107975629,1.0904319919470895,,,4,4,0.25,0.46683273,0.62244093,M3
European Goldfinch,2.206351450884208,1.5321068161042797,,,1,1,1,0.53134185,0.53134185,M3
European Greenfinch,-0.6945744625815324,1.8368367349817951,,,1,1,0,0.6122056,0.6122056,M3
European Honey-buzzard,-0.6468879997042145,1.1996800058356591,,,6,6,0.16666666666666666,0.4516032,0.89044964,M3
European Pied Flycatcher,1.4428552698614843,0.9428836119092057,,,4,4,0.5,0.47429967,0.6310165,M3
European Robin,2.9598794641376998,0.5870595466445505,,,32,32,0.90625,0.45424584,0.9797769,M3
European Roller,-1.0321963428378271,1.6767715352712003,,,2,2,0,0.5675431,0.64664716,M3
European Serin,-1.46910943208185,1.2044742033765403,,,6,6,0.16666666666666666,0.5462366,0.94396657,M3
European Starling,-0.9390040034900919,1.7463380384652158,,,1,1,0,0.68616617,0.68616617,M3
European Stonechat,3.606953333443064,1.1839221294426485,,,4,4,1,0.48983932,0.6034755,M3
European Storm-Petrel,2.2615971683216696,0.9647173614897128,,,4,4,0.75,0.49984306,0.63268185,M3
European Turtle-Dove,-0.9286716381487464,1.520187173395867,,,4,4,0.25,0.50113934,0.9621485,M3
Fieldfare,-0.4587652992111178,1.2017954572865477,,,4,4,0.25,0.4819466,0.8694324,M3
Garden Warbler,2.1528666995431687,1.5355855157220886,,,1,1,1,0.54411656,0.54411656,M3
