predicted_species,random_intercept,random_intercept_se,random_score_slope,random_score_slope_se,validation_n,validation_events,confirmation_rate,score_min,score_max,model_id
Goldcrest,1.4929840077578505,0.9082653649727709,,,6,6,0.6666666666666666,0.47219977,0.9119652,M3
Golden Eagle,-0.762242162014113,1.8091766262197533,,,1,1,0,0.63454306,0.63454306,M3
Gray Heron,-1.7012520393924755,1.4871561806653906,,,4,4,0,0.4508666,0.7860268,M3
Gray Partridge,0.7649921045497157,0.8993844094912049,,,6,6,0.3333333333333333,0.4688923,0.7568923,M3
Gray Wagtail,0.7955541820733115,0.7144786354068272,,,10,10,0.3,0.4532915,0.76705384,M3
Gray-headed Woodpecker,-2.712596705591697,1.3316098676969386,,,10,10,0,0.4523584,0.903351,M3
Graylag Goose,2.033232643511193,0.9809385212220839,,,6,6,0.8333333333333334,0.51443547,0.97578543,M3
Great Bittern,-3.2196490850933044,1.4594125621853318,,,2,2,0,0.756963,0.95216435,M3
Great Black-backed Gull,0.7808307404578635,1.126931800904336,,,3,3,0.3333333333333333,0.49271402,0.5737077,M3
Great Crested Grebe,1.6575402016893426,1.2538465063749842,,,2,2,0.5,0.45130348,0.48629478,M3
Great Reed Warbler,-0.7142836765937539,1.8028183986180826,,,2,2,0,0.50065213,0.5318538,M3
Great Skua,-0.6263697638458806,1.8460134434280377,,,2,2,0,0.4664486,0.50352687,M3
Great Spotted Woodpecker,2.7740686499043172,1.297193584968806,,,5,5,1,0.5302431,0.9197549,M3
Great Tit,3.141249489533537,1.3565944192571866,,,3,3,1,0.45516548,0.7589116,M3
Greater Short-toed Lark,-0.3798466319894297,2.0007541770862405,,,1,1,0,0.48060077,0.48060077,M3
Greater White-fronted Goose,-0.7975469337023463,1.755444627789415,,,3,3,0,0.4646905,0.5075931,M3
Greater Whitethroat,-1.1021847663763498,1.6328246581879808,,,4,4,0,0.46172923,0.6212063,M3
Green Sandpiper,-0.005787568090573232,1.0780996970001937,,,4,4,0.5,0.480276,0.9021706,M3
Green-winged Teal,-1.0038723890857288,1.6660090230670321,,,4,4,0,0.509468,0.6395393,M3
Hawfinch,1.2845463125449994,0.9486492607793354,,,6,6,0.6666666666666666,0.46613753,0.9795949,M3
Hazel Grouse,-1.4109083850495272,1.544486833398183,,,4,4,0,0.4639603,0.70925665,M3
Herring Gull,1.7994510750227621,1.0246137019465371,,,4,4,0.75,0.49660635,0.8063444,M3
Hooded Crow,2.2720767642838995,1.142104492404113,,,3,3,0.6666666666666666,0.45689526,0.765866,M3
Horned Lark,-0.9029769860446166,1.7220512722391157,,,2,2,0,0.55832505,0.59265554,M3
Iberian Chiffchaff,-1.445246899454391,1.5106411437906013,,,6,6,0,0.4879123,0.624374,M3
Iberian Green Woodpecker,-1.3946676746144941,1.553485069397475,,,4,4,0,0.46662453,0.7160364,M3
Lady Amherst's Pheasant,-0.756204024905907,1.7853513953077713,,,2,2,0,0.4845635,0.56653327,M3
Lesser Black-backed Gull,1.8733038097609573,0.9310707502206851,,,4,4,0.5,0.4659436,0.48928738,M3
Lesser Kestrel,-0.6609335558293921,1.8288054172031456,,,2,2,0,0.47397572,0.51973855,M3
Lesser Spotted Woodpecker,-0.3959474951610146,1.0455866287444535,,,6,6,0.16666666666666666,0.45874673,0.78870225,M3
Lesser Whitethroat,0.9664456837323415,1.0393341324887806,,,4,4,0.5,0.46192268,0.8295314,M3
Little Bittern,-2.3538458375549065,1.4087093717340977,,,4,4,0,0.4937431,0.88226736,M3
Little Crake,-1.7062319979652614,1.5480800791483402,,,2,2,0,0.5377573,0.82483935,M3
Little Grebe,1.596876355926354,1.2517469920421915,,,2,2,0.5,0.45730296,0.5029782,M3
Little Owl,3.0055745865336205,1.3077146068899803,,,3,3,1,0.54112846,0.8313075,M3
Little Ringed Plover,-0.27421647550665207,1.1033392754411926,,,4,4,0.25,0.47377324,0.7813279,M3
Long-eared Owl,-1.1939109633401628,1.674993365625839,,,1,1,0,0.80331576,0.80331576,M3
Long-tailed Tit,2.7362670489783842,1.392182519114979,,,4,4,1,0.45770577,0.9043659,M3
Mallard,-0.35273379287396245,2.01831524169214,,,1,1,0,0.46616498,0.46616498,M3
Mandarin Duck,2.818277551221033,1.366642151712187,,,4,4,1,0.45110583,0.94385535,M3
Manx Shearwater,-1.6493208705966296,1.4661450552242359,,,6,6,0,0.49015445,0.7890689,M3
Marmora's Warbler,-0.7847603510452446,1.7631021297267861,,,3,3,0,0.47967488,0.5270199,M3
Marsh Tit,-0.8931496301293014,1.7614489649480105,,,1,1,0,0.6736141,0.6736141,M3
Mediterranean Flycatcher,-0.6528443992389383,1.8550379016235297,,,1,1,0,0.67246586,0.67246586,M3
Mediterranean Gull,-0.41280545343077624,1.9802736052800718,,,1,1,0,0.49727008,0.49727008,M3
Mew Gull,-1.7283069258377404,1.5556927577939363,,,2,2,0,0.47817048,0.832068,M3
Middle Spotted Woodpecker,1.30929348394739,1.648704629857249,,,1,1,1,0.7370661,0.7370661,M3
Mistle Thrush,0.37452683453987395,1.2428126106887711,,,4,4,0.75,0.68976516,0.9704822,M3
Northern Fulmar,-0.6849122775064928,1.8170458522726631,,,2,2,0,0.48369163,0.52717537,M3
Northern Gannet,-0.9640996884291482,1.6811956411442739,,,4,4,0,0.4623621,0.55956405,M3
Northern Goshawk,2.5761197110892726,1.5179284189777598,,,1,1,1,0.5244065,0.5244065,M3
Northern Lapwing,-0.17694150490411517,1.044543124016493,,,6,6,0.16666666666666666,0.45218953,0.78778225,M3
Ortolan Bunting,2.436894677091932,0.9943122725678231,,,4,4,0.75,0.45866507,0.7345189,M3
Osprey,-0.43987061321153975,1.9523934734648973,,,2,2,0,0.4543949,0.5207452,M3
Parrot Crossbill,-0.868145303297797,1.726153677953524,,,3,3,0,0.45207307,0.5532644,M3
Peregrine Falcon,-1.5445351891899368,1.4940711050596887,,,4,4,0.25,0.5514948,0.9912141,M3
Pied Avocet,-0.10474684776506095,1.0832056702438884,,,3,3,0.3333333333333333,0.6694182,0.7209811,M3
Pin-tailed Sandgrouse,-0.394519195740983,1.9915223911383484,,,1,1,0,0.4881342,0.4881342,M3
Pin-tailed Whydah,-1.0454622310762791,1.649074305857964,,,4,4,0,0.4767209,0.56645083,M3
Pink-footed Goose,1.335864245428629,0.9428505203796764,,,4,4,0.5,0.46897572,0.62071764,M3
Razorbill,-1.697873699497587,1.4829319468973179,,,4,4,0,0.5480136,0.7805908,M3
Red Crossbill,-1.3023234672742483,1.6098972746833926,,,2,2,0,0.55251896,0.74028385,M3
Red Kite,0.9383889570196349,1.2081460165621614,,,3,3,0.6666666666666666,0.61573267,0.9491949,M3
Red-billed Chough,-5.148471765150344,1.0139739462140875,,,40,40,0,0.48313993,0.97083384,M3
Red-breasted Flycatcher,-0.08150603483968875,1.0529907036162531,,,4,4,0.25,0.5780546,0.73134536000000006,M3
Red-flanked Bluetail,-1.2374655448969276,1.6646767661320663,,,1,1,0,0.75621206,0.75621206,M3
Red-legged Partridge,-0.28626592848700383,1.1505380507661047,,,4,4,0.5,0.48487532,0.93370664,M3
Red-throated Loon,-1.6065701145549058,1.503049244452644,,,4,4,0,0.4565726,0.7601923,M3
Redwing,2.5565430158303757,0.9536976558686655,,,6,6,0.8333333333333334,0.46713278,0.9138808,M3
Ring Ouzel,-0.5251678157086336,1.1053764542833973,,,6,6,0.16666666666666666,0.4690055,0.84863913,M3
Ring-necked Pheasant,3.640497341473493,0.770246120104482,,,36,36,0.9722222222222222,0.50322765,0.9959849,M3
River Warbler,-0.4018871024964536,1.9869562542291292,,,1,1,0,0.49184805,0.49184805,M3
Rock Bunting,0.7139123833866926,1.0315910492367522,,,4,4,0.5,0.5604796,0.86531985,M3
Rock Partridge,-1.1478107717949193,1.6138900078014253,,,4,4,0,0.48008925,0.60807043,M3
Rock Pigeon,0.857326450626434,0.8560712147939629,,,6,6,0.3333333333333333,0.4555873,0.69161826,M3
Rock Sparrow,-0.4631904304656382,1.950676406000946,,,1,1,0,0.5211301,0.5211301,M3
Rook,3.2300472770500166,0.8356903564569353,,,10,10,0.9,0.46516174,0.91185945,M3
Rose-ringed Parakeet,4.6024744308843095,1.0090604269230437,,,38,38,1,0.4508573,0.9950531,M3
Rough-legged Hawk,-0.7221817645947941,1.8013360011149084,,,2,2,0,0.46624634,0.5592569,M3
Ruddy Shelduck,-0.8457821113098801,1.7447556064851986,,,2,2,0,0.56911683,0.6272393,M3
Ruff,-0.915397383957341,1.7540203251805084,,,1,1,0,0.6797722,0.6797722,M3
Sardinian Warbler,-0.949556455836312,1.7074224552818398,,,2,2,0,0.53551763,0.629234,M3
Savi's Warbler,-0.3938218154976981,1.9919569713493377,,,1,1,0,0.48778033,0.48778033,M3
Sedge Warbler,-1.0479881338732007,1.647732807511408,,,4,4,0,0.4599878,0.54621375,M3
Short-toed Treecreeper,1.0808450283739295,0.8854825141803101,,,6,6,0.5,0.45196015,0.87817514,M3
Siberian Accentor,1.6972130506515155,1.0056186811590808,,,4,4,0.75,0.5684186,0.7607654,M3
Small Buttonquail,-0.7951148024233456,1.7702777671734342,,,2,2,0,0.47554177,0.5902286,M3
Song Thrush,0.3192783667785169,2.0409387067900644,,,1,1,1,0.92081106,0.92081106,M3
Spectacled Warbler,1.8203427182924645,0.9554308962013144,,,4,4,0.5,0.46857417,0.5969725,M3
Spotted Crake,0.04367725380711117,1.0672638181274716,,,4,4,0.25,0.50871366,0.7065019,M3
Spotted Flycatcher,0.20539433658356596,0.9286298145562969,,,6,6,0.3333333333333333,0.46577254,0.88392234,M3
Stock Dove,1.443986905301586,1.118058810118121,,,4,4,0.75,0.5046515,0.96726614,M3
Subalpine Warbler,-1.2261464113103933,1.66731069262649,,,1,1,0,0.7538783,0.7538783,M3
Tawny Owl,1.6467512942506088,0.4451503200466823,,,36,36,0.75,0.46462962,0.99261487,M3
Tawny Pipit,-0.8182446697571688,1.7569490786040634,,,2,2,0,0.5251763,0.57277966,M3
Twite,-0.4230491191052657,1.97409324511965,,,1,1,0,0.5022717,0.5022717,M3
Ural Owl,-2.8025257900112326,1.3114328161619555,,,6,6,0,0.53960425,0.904378,M3
Water Pipit,-0.4901430975410574,1.9356364628018747,,,1,1,0,0.53318430000000006,0.53318430000000006,M3
Water Rail,-1.36438604881689,1.5534689518710862,,,4,4,0,0.49620607,0.6958819,M3
Western Bonelli's Warbler,-0.6706280473415877,1.8237211804707472,,,2,2,0,0.4860405,0.51640224,M3
Western Capercaillie,-2.856893322885488,1.328611741117061,,,10,10,0,0.4588174,0.916638,M3
Western Orphean Warbler,-0.44887377119659383,1.958884907181841,,,1,1,0,0.5145341,0.5145341,M3
Western Yellow Wagtail,0.2846343999846905,1.1441558157454108,,,4,4,0.25,0.46994802,0.75177276,M3
Whinchat,0.021238154371998295,1.1115749998854745,,,4,4,0.5,0.561222,0.935205,M3
White Stork,-0.5632210784995731,1.897395649101067,,,1,1,0,0.56373286,0.56373286,M3
White Wagtail,-1.2040045782976156,1.6079453625793823,,,3,3,0,0.50373846,0.66764176,M3
White-tailed Eagle,-0.3884220247393798,1.995336026900289,,,1,1,0,0.48502633,0.48502633,M3
White-winged Crossbill,-0.5705368563609777,1.8762137597131852,,,2,2,0,0.495774,0.50749975,M3
White-winged Snowfinch,-0.7075336140718822,1.8062933389008287,,,2,2,0,0.49074313,0.53550375,M3
White-winged Tern,-1.6582361484819532,1.508260954661098,,,2,2,0,0.7042973,0.78014046,M3
Whooper Swan,1.183527828292569,0.879940986352632,,,6,6,0.5,0.45030275,0.8104594,M3
Willow Tit,1.5193849872132588,0.9227427873655613,,,6,6,0.6666666666666666,0.45567042,0.90894824,M3
Willow Warbler,0.22612682240679038,0.9567453240546657,,,6,6,0.3333333333333333,0.48096263,0.87423605,M3
Wood Lark,1.8482112386223641,1.4870934992830034,,,2,2,1,0.6658773,0.8058362,M3
Wood Sandpiper,-0.577273589211279,1.8715827134983896,,,2,2,0,0.4597222,0.4753123,M3
Wood Warbler,2.1056450171951604,0.8506133313357722,,,6,6,0.6666666666666666,0.48773438,0.8553934,M3
Yellow-billed Chough,-1.4880404293441811,1.5296632457546528,,,4,4,0,0.47062737,0.79800713,M3
Yellow-browed Warbler,1.6523153353531947,0.8317942182767912,,,6,6,0.6666666666666666,0.5384743,0.87047243,M3
Yellow-headed Parrot,-1.6334541854249032,1.4957796036773727,,,4,4,0,0.5098399,0.7689509,M3
Yellow-legged Gull,-0.34799077202187556,2.021456372213135,,,1,1,0,0.46356636,0.46356636,M3
Yellowhammer,-0.7731801620827244,1.7759600152974517,,,2,2,0,0.52122074,0.55046713,M3
