scenario,scenario_label,weighting,q,q_label,component,component_label,mean,sd,median,lower_95,upper_95
Audio_only,Audio-only sensitivity,equal_month,0,q = 0: Richness,alpha,Alpha,54.29030434782609,1.7502855625840852,54.21739130434783,50.65217391304348,57.826086956521735
Audio_only,Audio-only sensitivity,equal_month,0,q = 0: Richness,gamma,Gamma,171.415,5.837709641105308,172,160,183
Audio_only,Audio-only sensitivity,equal_month,0,q = 0: Richness,beta,Beta,3.1584696630682894,0.09026565928416604,3.156862745098039,2.9795615844252143,3.3366321862907684
Audio_only,Audio-only sensitivity,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,9.460183006553704,0.34347391584243814,9.456627154380145,8.7775924969819,10.122691570330076
Audio_only,Audio-only sensitivity,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,16.074400456394553,0.6063313817839643,16.07445156732285,14.916256388055755,17.23889104043403
Audio_only,Audio-only sensitivity,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.6990976758314666,0.008936835833215234,1.6985835309276975,1.6826868979607261,1.717895747778908
Audio_only,Audio-only sensitivity,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,4.898495869626545,0.15098985088849484,4.896394403046523,4.601190784991196,5.203970965313622
Audio_only,Audio-only sensitivity,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,8.499526223833048,0.2722374625020878,8.500701280802447,7.962635152814553,9.048533473724074
Audio_only,Audio-only sensitivity,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.735107222053872,0.012209203851587639,1.7344951392239105,1.7129216854063394,1.761903035356081
Audio_only,Audio-only sensitivity,abundance_weighted,0,q = 0: Richness,alpha,Alpha,71.58779514251495,2.37182618081077,71.55993715957052,66.7307001755301,76.38222045263423
Audio_only,Audio-only sensitivity,abundance_weighted,0,q = 0: Richness,gamma,Gamma,171.415,5.837709641105308,172,160,183
Audio_only,Audio-only sensitivity,abundance_weighted,0,q = 0: Richness,beta,Beta,2.3953110774103377,0.06633184158334239,2.3946016841437263,2.2664867685996524,2.5273487864562694
Audio_only,Audio-only sensitivity,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,8.930704176318047,0.3031009595618971,8.930933446040026,8.351645401691007,9.541296828154207
Audio_only,Audio-only sensitivity,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,13.527546175017646,0.47117363624962344,13.523063661911486,12.614363319277704,14.472322454902482
Audio_only,Audio-only sensitivity,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.5146861579290678,0.005297829793785552,1.5144329088372062,1.5054185426962605,1.526086882897825
Audio_only,Audio-only sensitivity,abundance_weighted,2,q = 2: Inverse Simpson,alpha,Alpha,4.698866939811639,0.1262765419902758,4.6938896021374115,4.457832679707558,4.956985587220709
Audio_only,Audio-only sensitivity,abundance_weighted,2,q = 2: Inverse Simpson,gamma,Gamma,7.568176381522986,0.2149831692510992,7.557649244863903,7.155982375306509,8.016423017009505
Audio_only,Audio-only sensitivity,abundance_weighted,2,q = 2: Inverse Simpson,beta,Beta,1.6106356801599808,0.014551565661634742,1.6107579288613045,1.58316720125899,1.6414949011503839
